Date,Daily Total,Isolation
2020-02-28,1,1
2020-02-29,0,1
2020-03-01,3,4
2020-03-02,6,10
2020-03-03,5,15
2020-03-04,14,29
2020-03-05,8,37
2020-03-06,10,47
2020-03-07,7,54
2020-03-08,5,59
2020-03-09,9,68
2020-03-10,14,82
2020-03-11,24,106
2020-03-12,16,122
2020-03-13,20,142
2020-03-14,24,164
2020-03-15,20,183
2020-03-16,23,202
2020-03-17,53,250
2020-03-18,77,318
2020-03-19,78,391
2020-03-20,60,440
2020-03-21,92,529
2020-03-22,22,549
2020-03-23,67,602
2020-03-24,106,699
2020-03-25,42,725
2020-03-26,87,797
2020-03-27,71,850
2020-03-28,56,893
2020-03-29,66,940
2020-03-30,51,957
2020-03-31,83,990
2020-04-01,99,1045
2020-04-02,45,1046
2020-04-03,54,1019
2020-04-04,70,1056
2020-04-05,74,1096
2020-04-06,24,1021
2020-04-07,30,977
2020-04-08,32,954
2020-04-09,27,918
2020-04-10,14,840
2020-04-11,12,802
2020-04-12,10,766
2020-04-13,9,724
2020-04-14,7,641
2020-04-15,12,585
2020-04-16,15,519
2020-04-17,6,457
2020-04-18,11,431
2020-04-19,2,399
2020-04-20,5,349
2020-04-21,7,310
2020-04-22,4,263
2020-04-23,0,229
2020-04-24,1,203
2020-04-25,2,169
2020-04-26,0,152
2020-04-27,3,140
2020-04-28,2,121
2020-04-29,0,104
2020-04-30,1,86
2020-05-01,0,64
2020-05-02,1,55
2020-05-03,0,47
2020-05-04,0,37
2020-05-05,0,30
2020-05-06,2,24
2020-05-07,0,22
2020-05-08,0,16
2020-05-09,0,16
2020-05-10,0,16
2020-05-11,0,12
2020-05-12,1,8
2020-05-13,0,8
2020-05-14,0,6
2020-05-15,0,4
2020-05-15,0,3
2020-05-17,0,3
2020-05-18,0,3
2020-05-19,1,4
2020-05-20,0,3
2020-05-21,0,2
2020-05-22,1,2
2020-05-23,0,2
2020-05-24,0,2
2020-05-25,0,2
2020-05-26,1,3
2020-05-27,0,3
2020-05-28,0,1
2020-05-29,1,2
2020-05-30,0,2
2020-05-31,0,2
2020-06-01,0,2
2020-06-02,0,2
2020-06-03,0,2
2020-06-04,0,2
2020-06-05,1,3
2020-06-06,0,3
2020-06-07,0,3
2020-06-08,0,3
2020-06-09,0,3
2020-06-10,0,2
2020-06-11,0,2
2020-06-12,1,2
2020-06-13,2,4
2020-06-14,0,4
2020-06-15,0,4
2020-06-16,1,3
2020-06-17,0,3
2020-06-18,2,5
2020-06-19,0,5
2020-06-20,0,5
2020-06-21,0,5
2020-06-22,0,5
2020-06-23,0,5
2020-06-24,0,5
2020-06-25,0,5
2020-06-26,2,7
2020-06-27,0,7
2020-06-28,1,8
2020-06-29,1,9
2020-06-30,1,7
2020-07-01,0,7
2020-07-02,3,8
2020-07-03,0,8
2020-07-04,0,8
2020-07-05,0,8
2020-07-06,0,8
2020-07-07,0,8
2020-07-08,0,8
2020-07-09,0,8
2020-07-10,0,8
2020-07-11,0,6
2020-07-12,0,6
2020-07-13,0,5
2020-07-14,0,3
2020-07-15,0,3
2020-07-16,0,3
2020-07-17,0,0
2020-07-18,0,0
2020-07-19,0,0
2020-07-20,0,0
2020-07-21,0,0
2020-07-22,0,0
2020-07-23,2,2
2020-07-24,0,2
2020-07-25,3,5
2020-07-26,6,11
2020-07-27,4,15
2020-07-28,4,19
2020-07-29,10,29
2020-07-30,11,40
2020-07-31,7,47
2020-08-01,13,60
2020-08-02,8,68
2020-08-03,2,70
2020-08-04,9,79
2020-08-05,3,82
2020-08-06,16,96
2020-08-07,3,99
2020-08-08,3,102
2020-08-09,2,101
2020-08-10,0,95
2020-08-11,4,95
2020-08-12,6,96
2020-08-13,1,92
2020-08-14,6,90
2020-08-15,8,87
2020-08-16,2,81
2020-08-17,3,77
2020-08-18,4,74
2020-08-19,2,68
2020-08-20,10,70
2020-08-21,9,67
2020-08-22,4,69
2020-08-23,6,70
2020-08-24,3,69
2020-08-25,6,75
2020-08-26,3,71
2020-08-27,3,73
2020-08-28,5,75
2020-08-29,2,68
2020-08-30,0,63
2020-08-31,5,66
2020-09-01,5,68
2020-09-02,4,67
2020-09-03,6,69
2020-09-04,1,64
2020-09-05,3,54
2020-09-06,0,50
2020-09-07,6,54
2020-09-08,2,50
2020-09-09,4,51
2020-09-10,0,48
2020-09-11,1,44
2020-09-12,2,41
2020-09-13,2,41
2020-09-14,6,42
2020-09-15,13,56
2020-09-16,19,72
2020-09-17,21,92
2020-09-18,75,163
2020-09-19,38,197
2020-09-20,30,224
2020-09-21,37,259
2020-09-22,56,305
2020-09-23,33,336
2020-09-24,45,380
2020-09-25,38,414
2020-09-26,20,433
2020-09-27,39,471
2020-09-28,32,502
2020-09-29,33,531
2020-09-30,36,558
2020-10-01,38,584
2020-10-02,61,627
2020-10-03,48,609
2020-10-04,59,646
2020-10-05,99,723
2020-10-06,87,772
2020-10-07,95,824
2020-10-08,97,881
2020-10-09,87,936
2020-10-10,60,958
2020-10-11,49,983
2020-10-12,82,1033
2020-10-13,88,1087
2020-10-14,80,1124
2020-10-15,67,1148
2020-10-16,69,1187
2020-10-17,51,1178
2020-10-18,42,1169
2020-10-19,62,1161
2020-10-20,45,1118
2020-10-21,34,1067
2020-10-22,30,1019
2020-10-23,76,985
2020-10-24,59,955
2020-10-25,50,941
2020-10-26,59,951
2020-10-27,86,959
2020-10-28,42,903
